Unnamed: 0,Employed total ;  Persons ;,Employed total ;  Persons ;.1,Employed total ;  Persons ;.2,Employed total ;  > Males ;,Employed total ;  > Males ;.1,Employed total ;  > Males ;.2,Employed total ;  > Females ;,Employed total ;  > Females ;.1,Employed total ;  > Females ;.2,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;.1,> Employed full-time ;  Persons ;.2,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;.1,> Employed full-time ;  > Males ;.2,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;.1,> Employed full-time ;  > Females ;.2,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;.1,> Employed part-time ;  Persons ;.2,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;.1,> Employed part-time ;  > Males ;.2,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;.1,> Employed part-time ;  > Females ;.2,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;.1,Employment to population ratio ;  Persons ;.2,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;.1,Employment to population ratio ;  > Males ;.2,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;.1,Employment to population ratio ;  > Females ;.2,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;.1,Unemployed total ;  Persons ;.2,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;.1,Unemployed total ;  > Males ;.2,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;.1,Unemployed total ;  > Females ;.2,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;.1,> Unemployed looked for full-time work ;  Persons ;.2,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;.1,> Unemployed looked for full-time work ;  > Males ;.2,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;.1,> Unemployed looked for full-time work ;  > Females ;.2,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;.1,> Unemployed looked for only part-time work ;  Persons ;.2,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;.1,> Unemployed looked for only part-time work ;  > Males ;.2,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;.1,> Unemployed looked for only part-time work ;  > Females ;.2,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;.1,Unemployment rate ;  Persons ;.2,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;.1,Unemployment rate ;  > Males ;.2,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;.1,Unemployment rate ;  > Females ;.2,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;.1,> Unemployment rate looked for full-time work ;  Persons ;.2,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;.1,> Unemployment rate looked for full-time work ;  > Males ;.2,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;.1,> Unemployment rate looked for full-time work ;  > Females ;.2,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;.1,> Unemployment rate looked for only part-time work ;  Persons ;.2,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;.1,> Unemployment rate looked for only part-time work ;  > Males ;.2,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;.1,> Unemployment rate looked for only part-time work ;  > Females ;.2,Labour force total ;  Persons ;,Labour force total ;  Persons ;.1,Labour force total ;  Persons ;.2,Labour force total ;  > Males ;,Labour force total ;  > Males ;.1,Labour force total ;  > Males ;.2,Labour force total ;  > Females ;,Labour force total ;  > Females ;.1,Labour force total ;  > Females ;.2,Participation rate ;  Persons ;,Participation rate ;  Persons ;.1,Participation rate ;  Persons ;.2,Participation rate ;  > Males ;,Participation rate ;  > Males ;.1,Participation rate ;  > Males ;.2,Participation rate ;  > Females ;,Participation rate ;  > Females ;.1,Participation rate ;  > Females ;.2,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
1978-02-01,6008.247494,5997.70862,5985.6597158,3889.4957247,3881.2087533,3887.3879822,2118.7517693,2116.4998667,2098.2717336,5103.4330668,5079.6011104,5099.920902,3698.8536563,3680.0082284,3698.6077314,1404.5794105,1399.592882,1401.3131706,904.8144272,918.1075095,885.7388138,190.6420684,201.2005249,188.7802508,714.1723588,716.9069847,696.958563,57.2684022,57.1791396,57.0642714,75.1546796,75.0194696,75.1389073,39.8521708,39.8158045,39.472895,404.2236633,426.884426,482.8168132,220.1539354,231.3629077,256.4224198,184.0697278,195.5215184,226.3943934,336.2851031,354.7658873,401.0256138,203.0714781,211.9921912,237.0554411,133.213625,142.7736961,163.9701727,67.9385602,72.1185388,81.7911994,17.0824573,19.3707165,19.3669787,50.8561029,52.7478223,62.4242207,6.3037112,6.6445364,7.4641503,5.3570001,5.6257477,6.1880828,7.9932261,8.4567349,9.7387918,6.1820317,6.5281916,7.2901202,5.204392,5.4468697,6.0232655,8.6626498,9.2567939,10.4754308,6.9841533,7.2830379,8.4536085,8.2236112,8.782068,9.3044614,6.6476093,6.8534389,8.2203892,6412.4711572,6424.593046,6468.476529,4109.6496601,4112.5716609,4143.810402,2302.8214971,2312.0213851,2324.666127,61.1213133,61.2488411,61.6672042,79.4085983,79.4914586,80.0952688,43.3143877,43.4939746,43.7318487,4020.8534365,1029.7915622,2991.0618743,10489.3299655,5173.6019642,5315.7280013
1978-03-01,6015.1598377,6003.2299517,6040.560795,3887.5663612,3884.7941063,3900.648274,2127.5934765,2118.4358454,2139.912522,5105.2088216,5095.412502,5118.051614,3694.7685354,3691.4487078,3705.315922,1410.4402863,1403.9637942,1412.735692,909.9510161,907.8174497,922.5091813,192.7978258,193.3453985,195.3323517,717.1531902,714.4720511,727.1768296,57.2615495,57.1266066,57.4818461,75.0300688,74.9548304,75.2607273,39.9649281,39.7769016,40.1801594,403.9219947,403.8183752,424.8499786,220.2655136,217.610037,219.8097414,183.6564811,186.2083382,205.0402372,337.5682324,338.6872621,349.8380238,204.1265311,201.5182405,202.295506,133.4417013,137.1690215,147.5425178,66.3537623,65.1311131,75.0119548,16.1389825,16.0917965,17.5142354,50.2147798,49.0393166,57.4977194,6.2925198,6.3027209,6.5711212,5.3620869,5.3044515,5.3345949,7.9461973,8.0797001,8.7438963,6.2021323,6.2326287,6.3980447,5.2354969,5.1764693,5.1769607,8.6432579,8.9005321,9.4561673,6.7964189,6.694199,7.5198361,7.7243367,7.6833518,8.2285723,6.543768,6.4228666,7.3275882,6419.0818324,6407.0483269,6465.410774,4107.8318748,4102.4041433,4120.458015,2311.2499576,2304.6441836,2344.952759,61.1067008,60.9693335,61.5247093,79.2811954,79.1534889,79.5018278,43.4147498,43.2732505,44.0301062,4043.230138,1062.388885,2980.841254,10508.64091,5182.8469,5325.794013
1978-04-01,6021.5845953,6030.863781,6054.2138586,3885.4943516,3888.6234558,3899.119729,2136.0902437,2142.2403252,2155.0941296,5106.8818461,5119.6462566,5128.3115214,3690.7036973,3696.8558462,3703.6984542,1416.1781487,1422.7904105,1424.6130672,914.7027492,911.2175244,925.9023372,194.7906542,191.7676096,195.4212748,719.912095,719.4499147,730.4810624,57.2500168,57.3348718,57.5568588,74.9032241,74.9615027,75.1638407,40.070554,40.1832888,40.4243953,403.3128754,403.2518304,403.3767611,220.3301132,220.3663509,211.9126452,182.9827622,182.8854795,191.4641159,338.5796001,338.6422791,334.8404497,205.1705221,205.3360763,197.2298473,133.409078,133.3062028,137.6106024,64.7332754,64.6095514,68.5363114,15.1595911,15.0302747,14.6827979,49.5736842,49.5792767,53.8535135,6.2773434,6.2674011,6.2465521,5.3662819,5.3630299,5.1547306,7.8903407,7.8656165,8.1593592,6.2176475,6.2041843,6.1290708,5.2663539,5.2620701,5.0559721,8.60933,8.5667048,8.8086364,6.6092398,6.6210042,6.8919598,7.2205637,7.2680989,6.9883452,6.4424432,6.4469954,6.8661404,6424.8974707,6434.1156114,6457.5906197,4105.8244648,4108.9898067,4111.0323742,2319.0730059,2325.1258047,2346.5582455,61.0845007,61.1685501,61.3917249,79.1506723,79.2095337,79.2489085,43.5030966,43.6137816,44.0158028,4061.0755873,1076.4616259,2984.6139614,10518.666207,5187.4940001,5331.1722069
1978-05-01,6027.2710414,6033.2229361,6038.2647505,3883.0586297,3885.8538432,3888.6004915,2144.2124117,2147.3690928,2149.664259,5107.304996,5118.8898295,5117.4811954,3685.9745076,3692.3068581,3692.2404844,1421.3304884,1426.5829713,1425.240711,919.9660453,914.3331066,920.7835551,197.084122,193.5469851,196.3600071,722.8819233,720.7861215,724.423548,57.232153,57.2919153,57.3397927,74.7708779,74.8256912,74.8785804,40.1690991,40.2320212,40.2750223,403.0419326,399.427792,398.4080771,220.7605377,215.2076996,210.6596809,182.2813948,184.2200924,187.7483962,339.822685,337.242158,334.1609257,206.4589366,201.4957133,196.4236462,133.3637484,135.7464447,137.7372795,63.2192475,62.185634,64.2471514,14.3016012,13.7119863,14.2360347,48.9176464,48.4736478,50.0111167,6.2678432,6.209381,6.1896587,5.3793924,5.2476096,5.1389683,7.835026,7.9010528,8.0323171,6.2385665,6.1809751,6.1295463,5.3041096,5.1747799,5.0511857,8.5781336,8.688721,8.81249,6.4300441,6.3680943,6.5223501,6.7656419,6.615871,6.7598776,6.3381282,6.3013366,6.457758,6430.3129739,6432.6507281,6436.6728276,4103.8191674,4101.0615428,4099.2601724,2326.4938065,2331.5891853,2337.4126552,61.0592511,61.0849101,61.1231042,79.021769,78.9697134,78.9350264,43.5839098,43.6834757,43.7925813,4093.9978713,1093.9479125,3000.0499588,10530.6706989,5193.2080849,5337.462614
1978-06-01,6031.3392455,6033.9472641,6031.3422994,3879.884932,3882.8177959,3883.5501257,2151.4543134,2151.1294682,2147.7921737,5106.3199484,5104.2636341,5092.5752651,3680.5128706,3680.5142113,3677.740202,1425.8070778,1423.7494228,1414.8350631,925.0192971,929.68363,938.7670343,199.3720614,202.3035846,205.8099237,725.6472357,727.3800454,732.9571106,57.1996719,57.2297564,57.2050492,74.6256911,74.6970234,74.7111119,40.2510048,40.2434946,40.1810602,403.0698183,405.9687532,393.4903275,221.5331399,225.6009755,216.7385614,181.5366784,180.3677778,176.7517661,341.0635233,344.1874985,331.1521423,207.8128867,212.9988587,205.5089635,133.2506366,131.1886397,125.6431788,62.006295,61.7812548,62.3381852,13.7202532,12.6021167,11.2295979,48.2860418,49.1791381,51.1085873,6.2642865,6.3039448,6.1245226,5.4013791,5.4911874,5.2859342,7.781285,7.7361351,7.603718,6.2610522,6.3171623,6.1056192,5.3445339,5.4706085,5.292191,8.54687,8.4369045,8.1561151,6.2821365,6.2313104,6.2269364,6.4386429,5.8640216,5.1739876,6.2390445,6.3329543,6.5184062,6434.4090638,6439.9160173,6424.8326269,4101.4180719,4108.4187714,4100.2886871,2332.9909918,2331.4972459,2324.5439398,61.0222825,61.0802197,60.9371593,78.8866586,79.0370987,78.8806934,43.6473278,43.6178288,43.4877458,4118.5413943,1097.8003638,3020.7410305,10543.3740212,5198.0890509,5345.2849703
1978-07-01,6032.8947259,6030.5503784,6036.0839263,3876.3368301,3873.0419604,3869.8998106,2156.5578958,2157.508418,2166.1841157,5104.1961366,5096.6599289,5092.762944,3675.2171756,3668.4516187,3668.9611914,1428.978961,1428.2083102,1423.8017526,928.6985893,933.8904495,943.3209823,201.1196546,204.5903417,200.9386192,727.5789348,729.3001078,742.3823631,57.1436658,57.1326213,57.1850454,74.4736071,74.4257845,74.3654038,40.2924942,40.3162893,40.4784078,403.4206913,400.0943048,380.5317353,222.7529177,221.0006037,212.3703964,180.6677737,179.0937012,168.1613389,342.0937227,343.5788548,327.1449488,209.1815541,211.5939726,203.545987,132.9121685,131.9848821,123.5989618,61.3269687,56.5154501,53.3867865,13.5713635,9.406631,8.8244094,47.7556051,47.1088191,44.5623771,6.2678826,6.2216827,5.9304118,5.4342045,5.3981022,5.2022621,7.7300098,7.6647068,7.2037898,6.281225,6.3155106,6.0359872,5.385172,5.4533888,5.256181,8.5096948,8.4595217,7.9875213,6.1944834,5.7062917,5.3563129,6.3213467,4.3956842,4.2068469,6.1593548,6.0675267,5.6627073,6436.3154172,6430.6446833,6416.6156616,4099.0897478,4094.0425641,4082.270207,2337.2256694,2336.6021192,2334.3454546,60.9648724,60.9230609,60.7901518,78.753218,78.6726125,78.4463906,43.6680378,43.6629245,43.6207553,4138.7382431,1121.6278624,3017.1103807,10555.3539047,5203.8980694,5351.4558353
1978-08-01,6032.7433021,6036.359888,6005.3614529,3873.7523724,3872.5460323,3850.9218271,2158.9909297,2163.8138557,2154.4396258,5102.0868114,5098.2154443,5045.3356214,3671.7742699,3668.420669,3642.4496752,1430.3125416,1429.7947753,1402.8859462,930.6564907,938.1444437,960.0258315,201.9781025,204.1253633,208.4721519,728.6783881,734.0190804,751.5536796,57.070578,57.1059016,56.8126465,74.338393,74.3175298,73.9025425,40.2830073,40.3722606,40.197357,403.9831139,418.9521844,398.2900137,224.2246775,231.2770324,222.2031376,179.7584364,187.675152,176.0868761,342.7023779,348.8914063,334.3577565,210.3177968,216.1402741,207.902587,132.3845811,132.7511321,126.4551695,61.2807359,70.0607781,63.9322572,13.9068806,15.1367583,14.3005506,47.3738553,54.9240199,49.6317066,6.27622,6.4900377,6.2197328,5.4715943,5.6356482,5.4553479,7.6860924,7.9811197,7.5556693,6.2941349,6.4050773,6.2151824,5.4176406,5.564085,5.3995732,8.4715444,8.4958228,8.2686046,6.1778845,6.9490592,6.24364,6.4418008,6.9034989,6.419346,6.1044673,6.9617213,6.1947843,6436.726416,6455.3120724,6403.6514666,4097.9770498,4103.8230647,4073.1249647,2338.7493661,2351.4890077,2330.5265019,60.8923136,61.0693237,60.5805978,78.6413274,78.7559374,78.1668141,43.6369864,43.8738881,43.4827714,4166.8144879,1137.6860548,3029.1284331,10570.4659545,5210.8110195,5359.654935
1978-09-01,6032.9735755,6030.9987502,6024.3134515,3873.4663914,3870.3172697,3860.3738359,2159.5071841,2160.6814805,2163.9396156,5101.9015665,5107.1832018,5097.0324451,3671.726275,3672.3659556,3660.2544313,1430.1752916,1434.8172462,1436.7780138,931.072009,923.8155484,927.2810064,201.7401165,197.9513142,200.1194046,729.3318925,725.8642342,727.1616018,56.9991706,56.9666211,56.9034742,74.2440096,74.1607861,73.9702558,40.2364071,40.2505448,40.3112394,404.6051572,402.3878847,387.3267831,225.3786009,224.4222448,219.2948211,179.2265564,177.9656399,168.031962,342.8414251,340.42279,326.8975925,210.9253242,210.1863393,205.66474,131.9161008,130.2364507,121.2328525,61.7637322,61.9650947,60.4291906,14.4532767,14.2359055,13.6300811,47.3104555,47.7291893,46.7991095,6.2850518,6.2546821,6.0409937,5.498588,5.4807453,5.3753096,7.6634015,7.6097688,7.205575,6.2967421,6.2490347,6.0269508,5.4325071,5.4136126,5.3199441,8.4448389,8.3215324,7.7812585,6.2209417,6.2858908,6.1181094,6.6853461,6.7091248,6.3766615,6.0916657,6.1698029,6.0467035,6437.5787328,6433.3866349,6411.6402346,4098.8449923,4094.7395145,4079.668657,2338.7337404,2338.6471204,2331.9715776,60.8218558,60.7674308,60.5620222,78.5639157,78.4610357,78.1722566,43.5757952,43.5658015,43.4414453,4175.2589569,1139.1504412,3036.1085157,10586.8991915,5218.8190982,5368.0800933
1978-10-01,6035.3099443,6035.9205362,6045.8551024,3875.8564067,3875.7589424,3874.2229955,2159.4535376,2160.1615938,2171.6321069,5104.7604682,5107.8863762,5097.3952618,3675.1505348,3674.2676733,3668.3637664,1429.6099334,1433.6187029,1429.0314954,930.549476,928.03416,948.4598406,200.7058719,201.4912691,205.8592291,729.8436042,726.5428909,742.6006115,56.944579,56.9518286,57.045566,74.1960617,74.1905095,74.1611081,40.1774945,40.1948257,40.4082613,404.9919446,396.4391267,370.3716232,225.7529514,222.2949904,209.1663856,179.2389932,174.1441362,161.2052376,342.6412837,336.6683741,307.9630716,210.8955433,207.9730238,195.042028,131.7457404,128.6953503,112.9210436,62.3506609,59.7707526,62.4085516,14.8574081,14.3219667,14.1243576,47.4932528,45.4487859,48.284194,6.2884,6.163199,5.7724211,5.5040091,5.4244037,5.1223718,7.6640683,7.4602111,6.9102648,6.2899947,6.1835795,5.6973664,5.4269954,5.3570358,5.0484479,8.437907,8.2374827,7.3232503,6.2796508,6.0508661,6.1737564,6.892365,6.6362782,6.4206416,6.109739,5.8872119,6.1050856,6440.3018888,6432.3596628,6416.2267256,4101.609358,4098.0539329,4083.3893811,2338.6925308,2334.30573,2332.8373445,60.7657739,60.6924235,60.5402014,78.517682,78.4457222,78.1650106,43.5123075,43.435182,43.4078593,4182.0642918,1140.6735996,3041.3906922,10598.2910174,5224.0629807,5374.2280367
1978-11-01,6039.9955452,6028.2701475,6033.7974422,3880.569844,3877.8144369,3863.476373,2159.4257013,2150.4557106,2170.3210692,5109.905499,5103.8235452,5079.2057021,3681.2162539,3680.6747157,3662.4035339,1428.6892451,1423.1488296,1416.8021682,930.0900462,924.4466022,954.5917401,199.3535901,197.1397212,201.0728391,730.7364562,727.306881,753.518901,56.9087134,56.8011962,56.853277,74.1876369,74.1401319,73.8660017,40.1173328,39.952411,40.3214812,405.5971797,407.4550947,372.7822643,225.4201351,225.4443248,207.5462261,180.1770446,182.0107699,165.2360382,342.5127556,339.4527769,311.3026344,210.3256857,206.6708668,192.0392637,132.1870698,132.7819101,119.2633707,63.0844242,68.0023178,61.4796299,15.0944494,18.773458,15.5069624,47.9899748,49.2288598,45.9726675,6.2926281,6.331145,5.8187408,5.4900313,5.4942751,5.098135,7.7011811,7.8033606,7.0748019,6.2818504,6.2361849,5.7750144,5.4046876,5.3165036,4.9822834,8.4687729,8.5339216,7.7642111,6.3517968,6.8519716,6.0507196,7.0387444,8.6949107,7.1599301,6.1626231,6.3395485,5.7502379,6445.592725,6435.7252422,6406.5797065,4105.9899791,4103.2587617,4071.0225991,2339.6027459,2332.4664805,2335.5571074,60.7302416,60.6404298,60.3658068,78.4971553,78.4504134,77.8340886,43.464622,43.3339125,43.3913319,4206.3484455,1159.3625338,3046.9859117,10612.928152,5230.3851329,5382.5430191
1978-12-01,6045.3156347,6053.3569953,6125.3604376,3886.4153778,3891.3056982,3936.0245076,2158.9002569,2162.0512971,2189.33593,5114.7347253,5112.8742138,5178.9942273,3688.094721,3689.3191833,3731.5886802,1426.6400043,1423.5550305,1447.4055471,930.5809094,940.4827815,946.3662103,198.3206569,201.9865149,204.4358274,732.2602526,738.4962666,741.9303829,56.8758527,56.9511231,57.628545,74.1963058,74.2924819,75.1462497,40.0463989,40.1031926,40.6092864,406.3369129,414.2711518,444.6140912,224.4133443,224.4037541,242.9163832,181.9235686,189.8673977,201.697708,342.6476542,350.4113488,376.3655133,209.2920967,208.402922,220.9667888,133.3555575,142.0084268,155.3987245,63.6892587,63.859803,68.2485779,15.1212476,16.0008321,21.9495944,48.5680111,47.8589709,46.2989835,6.2981834,6.4053026,6.767364,5.4590779,5.4523711,5.8128696,7.7717753,8.0728725,8.4355864,6.2786081,6.4139307,6.774818,5.3700622,5.3467876,5.5904791,8.5484575,9.0707551,9.6954274,6.405629,6.3583685,6.7265507,7.0844793,7.3402573,9.6956748,6.2200632,6.0861769,5.8737958,6451.6525476,6467.6281471,6569.9745288,4110.8287221,4115.7094523,4178.9408908,2340.8238255,2351.9186948,2391.033638,60.6987728,60.8486641,61.8115581,78.4806243,78.5767796,79.7839889,43.4209799,43.6249817,44.3505122,4059.0643212,1058.8780599,3000.1862613,10629.03885,5237.8189507,5391.2198993
1979-01-01,6050.6542605,6053.0005711,5971.3288253,3892.5442689,3891.9881473,3884.1169328,2158.1099916,2161.0124237,2087.2118925,5118.3742344,5122.4190524,5141.7025195,3694.6719431,3695.5683415,3701.1296142,1423.7022913,1426.8507108,1440.5729053,932.2800261,930.5815187,829.6263058,197.8723258,196.4198058,182.9873186,734.4077003,734.1617129,646.6389872,56.8409526,56.8689362,56.1016168,74.2069031,74.2049792,74.054906,39.9694825,40.0272131,38.6602475,406.9963163,411.8149665,449.9030488,223.059093,223.4408003,251.4086818,183.9372233,188.3741662,198.494367,343.0027498,347.5809818,394.2565631,208.0712656,208.7299039,236.3898293,134.9314842,138.8510779,157.8667338,63.9935664,64.2339847,55.6464857,14.9878273,14.7108964,15.0188525,49.0057391,49.5230883,40.6276332,6.3025447,6.3700962,7.0064912,5.4198394,5.4293441,6.0792437,7.8536941,8.0180149,8.6841591,6.2805177,6.3543141,7.1217391,5.3314106,5.3461567,6.0035216,8.6570358,8.8682966,9.8763025,6.4232924,6.4568741,6.285801,7.0411616,6.9676727,7.5850426,6.2554121,6.319261,5.9114806,6457.6505768,6464.8155376,6421.2318741,4115.6033619,4115.4289476,4135.5256146,2342.0472149,2349.3865899,2285.7062595,60.6643504,60.7380056,60.3285299,78.4592695,78.4651206,78.8482854,43.3761094,43.5163614,42.3368466,4222.5412828,1109.3894682,3113.1518146,10643.7731569,5244.9150828,5398.8580741
1979-02-01,6055.8592525,6063.6479858,6050.6934726,3898.3995363,3900.9418095,3907.789697,2157.4597163,2162.7061763,2142.9037756,5121.0896231,5129.5876621,5149.3405717,3700.5329808,3704.3601157,3723.3633127,1420.5566423,1425.2275464,1425.977259,934.7696294,934.0603237,901.3529009,197.8665555,196.5816938,184.4263843,736.9030739,737.4786299,716.9265166,56.8039733,56.8784746,56.7569582,74.2102593,74.2597205,74.3900793,39.8951565,39.9938132,39.6276175,407.5399578,404.7321608,458.0850562,221.6331438,219.2212908,243.2240516,185.906814,185.51087,214.8610046,343.526654,340.7035948,384.9383577,206.8467042,206.5574198,230.6059274,136.6799497,134.1461751,154.3324303,64.0133038,64.0285659,73.1466985,14.7864396,12.663871,12.6181242,49.2268643,51.3646949,60.5285743,6.3053502,6.2570868,7.0379573,5.3794026,5.3206945,5.8593892,7.9333221,7.9000734,9.1129109,6.286382,6.2282533,6.9555287,5.2937447,5.2815591,5.8322641,8.7770831,8.6025674,9.7659611,6.4091307,6.4151166,7.5060778,6.9533183,6.0521574,6.4036924,6.2619246,6.5113937,7.7854753,6463.3992103,6468.3801466,6508.7785288,4120.0326801,4120.1631002,4151.0137486,2343.3665303,2348.2170463,2357.7647802,60.626699,60.6749595,61.053906,78.4292863,78.4328952,79.0201791,43.3328946,43.4243703,43.6009316,4151.9292823,1102.0922226,3049.8370597,10660.7078111,5253.1059712,5407.6018399
1979-03-01,6061.5806215,6055.9184623,6096.1752153,3904.3186629,3902.6937554,3919.2449757,2157.2619586,2153.224707,2176.9302396,5124.0709846,5124.4773758,5148.1316976,3706.1981903,3704.6972445,3719.2781588,1417.8727943,1419.7801314,1428.8535388,937.5096369,931.4410865,948.0435177,198.1204727,197.9965109,199.9668169,739.3891643,733.4445756,748.0767008,56.7724595,56.704084,57.0810247,74.2145716,74.1619875,74.4765065,39.8303756,39.7459318,40.1835073,407.7787764,407.3822803,428.382213,220.2149095,221.955752,224.1812965,187.5638669,185.4265282,204.2009165,343.8629377,344.7605942,356.0560663,205.6921577,206.5993031,207.4216003,138.17078,138.1612911,148.634466,63.9158387,62.621686,72.3261467,14.5227518,15.3564489,16.7596962,49.3930869,47.2652371,55.5664505,6.3032327,6.3030067,6.56569,5.339147,5.3812027,5.4105294,7.9990533,7.9287807,8.5757946,6.2887179,6.3036313,6.4688212,5.2581269,5.2821181,5.2823392,8.8796215,8.8681955,9.4222248,6.3824858,6.2995706,7.0882298,6.829633,7.1976733,7.7331084,6.261942,6.0541364,6.9143189,6469.359398,6463.3007426,6524.5574283,4124.5335724,4124.6495074,4143.4262722,2344.8258255,2338.6512352,2381.1311561,60.5916951,60.5185738,61.0921456,78.400489,78.3797613,78.7365719,43.293441,43.1686819,43.95281,4155.3055274,1118.9647286,3036.3407988,10679.8629557,5262.3910008,5417.4719549
1979-04-01,6068.0586155,6064.7595874,6087.6537083,3910.6800645,3910.1732892,3920.4282316,2157.378551,2154.5862982,2167.2254767,5127.9782115,5121.3072635,5128.5430559,3711.9776063,3712.1550365,3718.0660212,1416.0006052,1409.1522269,1410.4770347,940.080404,943.4523239,959.1106524,198.7024582,198.0182527,202.3622104,741.3779458,745.4340712,756.748442,56.7501298,56.7220553,56.9361779,74.229123,74.2240053,74.4186675,39.7735035,39.7232353,39.9562587,407.3940787,421.5006918,420.5706013,218.6010435,228.855811,219.0635054,188.7930352,192.6448808,201.5070959,343.5513398,354.733382,349.6629608,204.3574394,213.259314,203.8478397,139.1939004,141.474068,145.8151211,63.8427388,66.7673098,70.9076405,14.2436041,15.596497,15.2156657,49.5991348,51.1708128,55.6919748,6.2913606,6.4983623,6.4621405,5.293925,5.5292148,5.2920387,8.0468554,8.2073245,8.5069585,6.2788903,6.4779173,6.3828005,5.2180786,5.4327848,5.1976623,8.9502567,9.1236727,9.3693925,6.3593253,6.6091875,6.8841147,6.6888319,7.3012266,6.9932044,6.2706159,6.4236127,6.8548996,6475.4526942,6486.2602792,6508.2243096,4129.281108,4139.0291003,4139.491737,2346.1715862,2347.2311789,2368.7325726,60.5601897,60.6642373,60.8696609,78.3784176,78.5682105,78.5769924,43.2540982,43.274951,43.6713635,4183.8416794,1128.5792479,3055.2624315,10692.065989,5268.0709849,5423.9950041
1979-05-01,6075.7568522,6070.3572578,6075.6109053,3917.5497193,3919.4576106,3922.2725815,2158.2071328,2150.8996472,2153.3383238,5133.0641068,5118.6511512,5116.8218821,3718.0506981,3711.9730365,3711.5767147,1415.0134087,1406.6781147,1405.2451674,942.6927454,951.7061066,958.7890232,199.4990212,207.4845741,210.6958668,743.1937242,744.2215325,748.0931564,56.7419477,56.6981169,56.7471868,74.256473,74.3049498,74.3583159,39.7319628,39.5995538,39.6444516,406.6913346,401.4910122,400.0632778,216.7717183,216.1895685,211.6543643,189.9196163,185.3014438,188.4089135,342.4836,341.5421304,337.9079754,202.5837294,203.5514775,198.5293616,139.8998706,137.9906528,139.3786138,64.2077346,59.9488819,62.1553024,14.1879889,12.6380909,13.1250027,50.0197457,47.3107909,49.0302997,6.2737306,6.203653,6.1779402,5.2432236,5.2274664,5.1199348,8.0881331,7.931742,8.0456554,6.2547825,6.2551289,6.1947701,5.167116,5.198575,5.0773395,8.997278,8.9333491,9.0234668,6.3767707,5.9258228,6.0880208,6.6396123,5.7413856,5.8640656,6.3059627,5.9771142,6.1509041,6482.4481868,6471.84827,6475.6741831,4134.3214377,4135.6471791,4133.9269458,2348.1267491,2336.2010909,2341.7472373,60.5400685,60.4481078,60.4838424,78.3653432,78.4034646,78.3708525,43.2283274,43.0110819,43.1131903,4230.7788536,1140.9001294,3089.8787242,10706.4530367,5274.8270752,5431.6259615
